(165, 268)
(165, 267)
(165, 266)
(165, 265)
(165, 264)
(165, 263)
(165, 262)
(165, 261)
(165, 260)
(165, 259)
(165, 258)
(165, 257)
(165, 256)
(165, 255)
(165, 254)
(165, 253)
(165, 252)
(165, 251)
(165, 250)
(165, 249)
(165, 248)
(165, 247)
(165, 246)
(165, 245)
(165, 244)
(165, 243)
(165, 242)
(165, 241)
(165, 240)
(165, 239)
(165, 238)
(165, 237)
(165, 236)
(165, 235)
(165, 234)
(165, 233)
(165, 232)
(165, 231)
(165, 230)
(165, 229)
(165, 228)
(165, 227)
(165, 226)
(165, 225)
(165, 224)
(165, 223)
(165, 222)
(165, 221)
(165, 220)
(165, 219)
(165, 218)
(165, 217)
(165, 216)
(165, 215)
(165, 214)
(165, 213)
(165, 212)
(165, 211)
(165, 210)
(165, 209)
(165, 208)
(165, 207)
(165, 206)
(165, 205)
(165, 204)
(165, 203)
(165, 202)
(165, 201)
(165, 200)
(165, 199)
(165, 198)
(165, 197)
(165, 196)
(166, 196)
(167, 196)
(168, 196)
(169, 196)
(170, 196)
(171, 196)
(172, 196)
(173, 196)
(174, 196)
(175, 196)
(176, 196)
(177, 196)
(178, 196)
(179, 196)
(180, 196)
(181, 196)
(182, 196)
(183, 196)
(184, 196)
(185, 196)
(186, 196)
(187, 196)
(188, 196)
(189, 196)
(190, 196)
(191, 196)
(192, 196)
(193, 196)
(194, 196)
(195, 196)
(196, 196)
(197, 196)
(198, 196)
(199, 196)
(200, 196)
(201, 196)
(202, 196)
(203, 196)
(204, 196)
(205, 196)
(206, 196)
(207, 196)
(208, 196)
(209, 196)
(210, 196)
(211, 196)
(212, 196)
(213, 196)
(214, 196)
(215, 196)
(216, 196)
(217, 196)
(218, 196)
(219, 196)
(220, 196)
(221, 196)
(222, 196)
(223, 196)
(224, 196)
(225, 196)
(226, 196)
(227, 196)
(228, 196)
(229, 196)
(230, 196)
(231, 196)
(232, 196)
(233, 196)
(234, 196)
(235, 196)
(236, 196)
(237, 196)
(238, 196)
(239, 196)
(240, 196)
(241, 196)
(242, 196)
(243, 196)
(244, 196)
(245, 196)
(246, 196)
(247, 196)
(248, 196)
(249, 196)
(250, 196)
(251, 196)
(252, 196)
(253, 196)
(254, 196)
(255, 196)
(256, 196)
(257, 196)
(258, 196)
(259, 196)
(260, 196)
(261, 196)
(262, 196)
(263, 196)
(264, 196)
(265, 196)
(266, 196)
(267, 196)
(268, 196)
(269, 196)
(270, 196)
(271, 196)
(272, 196)
(273, 196)
(274, 196)
(275, 196)
(276, 196)
(277, 196)
(278, 196)
(279, 196)
(280, 196)
(281, 196)
(282, 196)
(283, 196)
(284, 196)
(285, 196)
(286, 196)
(287, 196)
(288, 196)
(289, 196)
(290, 196)
(291, 196)
(292, 196)
(293, 196)
(294, 196)
(295, 196)
(296, 196)
(297, 196)
(298, 196)
(299, 196)
(300, 196)
(301, 196)
(302, 196)
(303, 196)
(304, 196)
(305, 196)
(306, 196)
(307, 196)
(308, 196)
(309, 196)
(310, 196)
(311, 196)
(312, 196)
(313, 196)
(314, 196)
(315, 196)
(316, 196)
(317, 196)
(318, 196)
(319, 196)
(320, 196)
(321, 196)
(322, 196)
(323, 196)
(324, 196)
(325, 196)
(326, 196)
(327, 196)
(328, 196)
(329, 196)
(330, 196)
(331, 196)
(332, 196)
(333, 196)
(334, 196)
(335, 196)
(336, 196)
(337, 196)
(338, 196)
(339, 196)
(340, 196)
(341, 196)
(342, 196)
(343, 196)
(344, 196)
(345, 196)
(346, 196)
(347, 196)
(348, 196)
(349, 196)
(350, 196)
(351, 196)
(352, 196)
(353, 196)
(354, 196)
(355, 196)
(356, 196)
(357, 196)
(358, 196)
(359, 196)
(360, 196)
(361, 196)
(362, 196)
(363, 196)
(364, 196)
(365, 196)
(366, 196)
(367, 196)
(368, 196)
(369, 196)
(370, 196)
(371, 196)
(372, 196)
(373, 196)
(374, 196)
(375, 196)
(376, 196)
(377, 196)
(378, 196)
(379, 196)
(380, 196)
(381, 196)
(382, 196)
(383, 196)
(384, 196)
(385, 196)
(385, 197)
(385, 198)
(385, 199)
(385, 200)
(385, 201)
(385, 202)
(385, 203)
(385, 204)
(385, 205)
(385, 206)
(385, 207)
(385, 208)
(385, 209)
(385, 210)
(385, 211)
(385, 212)
(385, 213)
(385, 214)
(385, 215)
(385, 216)
(385, 217)
(385, 218)
(385, 219)
(385, 220)
(385, 221)
(385, 222)
(385, 223)
(385, 224)
(385, 225)
(385, 226)
(385, 227)
(385, 228)
(385, 229)
(385, 230)
(385, 231)
(385, 232)
(385, 233)
(385, 234)
(385, 235)
(385, 236)
(385, 237)
(385, 238)
(385, 239)
(385, 240)
(385, 241)
(385, 242)
(385, 243)
(385, 244)
(385, 245)
(385, 246)
(385, 247)
(385, 248)
(385, 249)
(385, 250)
(385, 251)
(385, 252)
(385, 253)
(385, 254)
(385, 255)
(385, 256)
(385, 257)
(385, 258)
(385, 259)
(385, 260)
(385, 261)
(385, 262)
(385, 263)
(385, 264)
(385, 265)
(385, 266)
(385, 267)
(385, 268)
(385, 269)
(385, 270)
(385, 271)
(385, 272)
(385, 273)
(385, 274)
(385, 275)
(385, 276)
(385, 277)
(385, 278)
(385, 279)
(385, 280)
(385, 281)
(385, 282)
(385, 283)
(385, 284)
(385, 285)
(386, 285)
(387, 285)
(388, 285)
(389, 285)
(390, 285)
(391, 285)
(392, 285)
the temporal destination0are:(343, 196)
the temporal destination1are:(360, 196)
the temporal destination2are:(392, 285)
